Time,X_id,X_position,Fork_num,HumanDecidedDirection,RobotDecidedDirection,DecidedDirection,ErrP
11.078999999999997,0,"[2.3927652671089366, -0.1472128923839066, 6.176337566569287]",3,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
45.027,1,"[6.55912314166801, -4.088199839223822, 0.017482406418522983]",4,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
72.866,1,"[6.55912314166801, -4.088199839223822, 0.017482406418522983]",4,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
95.529,2,"[10.073306391554148, -3.633100125194523, 6.2099785867954935]",3,"[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 1, 0]",0
128.78300000000002,2,"[10.073306391554148, -3.633100125194523, 6.2099785867954935]",3,"[1, 0, 0, 0]","[0, 0, 0, 1]","[1, 0, 0, 0]",0
160.17600000000002,2,"[10.073306391554148, -3.633100125194523, 6.2099785867954935]",3,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
182.324,1,"[6.55912314166801, -4.088199839223822, 0.017482406418522983]",4,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
205.91500000000002,3,"[6.691931050327467, -0.15422716008066784, 2.055664955318215]",3,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
239.691,3,"[6.691931050327467, -0.15422716008066784, 2.055664955318215]",3,"[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 1, 0]",0
260.36699999999996,4,"[6.643559604574875, 3.803139742663899, 1.846659717007764]",3,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
287.553,4,"[6.643559604574875, 3.803139742663899, 1.846659717007764]",3,"[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 1, 0]",0
307.79499999999996,5,"[6.395390961193308, 7.080966366872045, 1.6914926563074852]",4,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
330.05699999999996,6,"[9.719889945323176, 8.049973397677869, 6.155726422569538]",4,"[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 1, 0]",0
353.573,7,"[10.437671084482286, 3.726746604928648, 4.6994130808386165]",3,"[1, 0, 0, 0]","[0, 0, 0, 1]","[1, 0, 0, 0]",0
385.635,7,"[10.437671084482286, 3.726746604928648, 4.6994130808386165]",3,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
410.394,8,"[14.16204548365057, 3.332268516045077, 6.227365150123553]",4,"[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 1, 0]",0
440.851,8,"[14.16204548365057, 3.332268516045077, 6.227365150123553]",4,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
466.537,8,"[14.16204548365057, 3.332268516045077, 6.227365150123553]",4,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
494.558,8,"[14.16204548365057, 3.332268516045077, 6.227365150123553]",4,"[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 1, 0]",0
530.0029999999999,9,"[17.86363896122715, 7.256048309728103, 1.6746778883423683]",3,"[1, 0, 0, 0]","[0, 0, 0, 1]","[1, 0, 0, 0]",0
552.288,10,"[17.69351783117805, 11.081869706585808, 1.8830028759605997]",3,"[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 1, 0]",0
575.764,11,"[21.410469709255672, 11.446157516964373, 0.004190575735651369]",3,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
597.288,12,"[21.924713869096053, 7.648488090085261, 5.039920474120477]",4,"[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 1, 0]",0
620.838,12,"[21.924713869096053, 7.648488090085261, 5.039920474120477]",4,"[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 1, 0]",0
654.0509999999999,12,"[21.924713869096053, 7.648488090085261, 5.039920474120477]",4,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
687.095,12,"[21.924713869096053, 7.648488090085261, 5.039920474120477]",4,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
709.547,13,"[25.34867223915688, 8.173886701009724, 6.20022723877254]",3,"[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 1, 0]",0
761.451,14,"[22.05830110015958, 0.4553825320974334, 3.6005428118823217]",4,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
783.8539999999999,15,"[21.389078067088533, 3.616540368581087, 2.9490122370854808]",3,"[1, 0, 0, 0]","[0, 0, 0, 1]","[1, 0, 0, 0]",0
812.281,15,"[21.389078067088533, 3.616540368581087, 2.9490122370854808]",3,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
832.822,14,"[22.05830110015958, 0.4553825320974334, 3.6005428118823217]",4,"[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 1, 0]",0
856.316,16,"[18.14834663451238, 0.04060279329904157, 3.0087986328725465]",3,"[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 1, 0]",0
891.383,16,"[18.14834663451238, 0.04060279329904157, 3.0087986328725465]",3,"[1, 0, 0, 0]","[0, 0, 0, 1]","[1, 0, 0, 0]",0
912.83,17,"[17.8680629860926, -3.7594269169857193, 4.713060730847319]",3,"[1, 0, 0, 0]","[0, 0, 0, 1]","[1, 0, 0, 0]",0
945.232,17,"[17.8680629860926, -3.7594269169857193, 4.713060730847319]",3,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
970.151,18,"[21.464991576161196, -4.038959655663885, 0.049622609700867834]",3,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
1001.294,18,"[21.464991576161196, -4.038959655663885, 0.049622609700867834]",3,"[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 1, 0]",0
1023.12,19,"[25.15816020235284, -3.8423776927948476, 0.08929834826937899]",3,"[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 1, 0]",0
1044.624,20,"[25.708256401835566, -7.850949823388147, 4.848597733157996]",3,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
