Time,X_id,X_position,Fork_num,HumanDecidedDirection,RobotDecidedDirection,DecidedDirection,ErrP
10.240000000000009,0,"[2.1563117224950314, 0.27474419662902017, 6.272057104642026]",3,"[0, 0, 0, 1]","[1, 0, 0, 0]","[0, 0, 0, 1]",0
33.95099999999999,0,"[2.1563117224950314, 0.27474419662902017, 6.272057104642026]",3,"[0, 0, 0, 1]","[0, 0, 1, 0]","[0, 0, 0, 1]",0
56.54799999999997,1,"[5.417785147577794, 0.028191422955581632, 0.007093909415629708]",4,"[0, 0, 1, 0]","[1, 0, 0, 0]","[1, 0, 0, 0]",1
92.43300000000002,2,"[9.848075114228664, -3.2137227781376554, 4.741052798353253]",4,"[0, 0, 0, 1]","[0, 0, 1, 0]","[0, 0, 0, 1]",0
116.91299999999998,3,"[13.723361183311258, -3.9453365077649805, 0.008427018891442296]",3,"[0, 0, 1, 0]","[1, 0, 0, 0]","[1, 0, 0, 0]",1
146.85299999999998,3,"[13.723361183311258, -3.9453365077649805, 0.008427018891442296]",3,"[0, 0, 0, 1]","[1, 0, 0, 0]","[0, 0, 0, 1]",0
168.895,4,"[13.54624713588711, -7.327364270225146, 5.149337719776306]",3,"[0, 0, 0, 1]","[0, 0, 1, 0]","[0, 0, 0, 1]",0
192.011,5,"[17.203888513483225, -7.838859975108077, 0.12711461945853983]",3,"[0, 0, 1, 0]","[1, 0, 0, 0]","[1, 0, 0, 0]",1
214.804,6,"[20.820571824736454, -7.704827417879816, 0.0033760588344114964]",4,"[1, 0, 0, 0]","[0, 0, 1, 0]","[1, 0, 0, 0]",0
236.708,7,"[24.704030889280634, -7.851485353066054, 0.016293989795422955]",3,"[0, 0, 0, 1]","[0, 0, 1, 0]","[0, 0, 0, 1]",0
285.14300000000003,8,"[24.867133222905736, 3.7418103290429405, 1.5784853365995783]",3,"[0, 0, 0, 1]","[1, 0, 0, 0]","[0, 0, 0, 1]",0
312.419,8,"[24.867133222905736, 3.7418103290429405, 1.5784853365995783]",3,"[1, 0, 0, 0]","[0, 0, 0, 1]","[0, 0, 0, 1]",1
350.264,8,"[24.867133222905736, 3.7418103290429405, 1.5784853365995783]",3,"[0, 0, 0, 1]","[0, 0, 1, 0]","[0, 0, 0, 1]",0
372.75700000000006,9,"[25.200760202336646, 7.157662441461495, 1.964983636731479]",3,"[0, 0, 0, 1]","[1, 0, 0, 0]","[0, 0, 0, 1]",0
397.595,10,"[21.31530503544824, 7.417578385107759, 3.150425156082564]",4,"[0, 0, 1, 0]","[1, 0, 0, 0]","[1, 0, 0, 0]",1
430.49300000000005,10,"[21.31530503544824, 7.417578385107759, 3.150425156082564]",4,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
458.90200000000004,10,"[21.31530503544824, 7.417578385107759, 3.150425156082564]",4,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
482.41700000000003,11,"[21.588733032521628, 10.952593951302966, 1.6382916048468485]",3,"[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 0, 1]",1
518.214,12,"[13.830484333997497, 11.487787092804535, 3.1714978430756884]",3,"[1, 0, 0, 0]","[0, 0, 0, 1]","[1, 0, 0, 0]",0
554.0880000000001,12,"[13.830484333997497, 11.487787092804535, 3.1714978430756884]",3,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
575.239,13,"[13.854423644063688, 7.728876675879791, 4.870624112243999]",4,"[0, 0, 1, 0]","[1, 0, 0, 0]","[1, 0, 0, 0]",1
606.058,13,"[13.854423644063688, 7.728876675879791, 4.870624112243999]",4,"[0, 0, 0, 1]","[0, 0, 1, 0]","[0, 0, 0, 1]",0
642.7470000000001,14,"[10.269980351283838, 7.55550632804815, 3.3488679566934594]",3,"[1, 0, 0, 0]","[0, 0, 0, 1]","[0, 0, 0, 1]",1
669.575,15,"[10.034293718747072, 4.254119609392319, 4.866698392723866]",3,"[0, 0, 0, 1]","[1, 0, 0, 0]","[0, 0, 0, 1]",0
701.32,15,"[10.034293718747072, 4.254119609392319, 4.866698392723866]",3,"[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 1, 0]",0
726.118,14,"[10.269980351283838, 7.55550632804815, 3.3488679566934594]",4,"[0, 0, 0, 1]","[0, 0, 1, 0]","[0, 0, 0, 1]",0
750.2330000000001,16,"[6.570189865720619, 7.744639367902848, 3.4305663706429566]",3,"[0, 0, 1, 0]","[1, 0, 0, 0]","[1, 0, 0, 0]",1
777.958,17,"[2.542295561391802, 7.527491871323352, 3.218483379844453]",3,"[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 1, 0]",0
