Time,X_id,X_position,Fork_num,HumanDecidedDirection,RobotDecidedDirection,DecidedDirection,ErrP
11.198,0,"[2.326239957036271, -0.36304671373214137, 0.09168157802119242]",3,"[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 1, 0]",0
66.89500000000001,0,"[2.326239957036271, -0.36304671373214137, 0.09168157802119242]",3,"[1, 0, 0, 0]","[0, 0, 0, 1]","[0, 0, 0, 1]",1
94.149,0,"[2.326239957036271, -0.36304671373214137, 0.09168157802119242]",3,"[0, 0, 0, 1]","[0, 0, 1, 0]","[0, 0, 0, 1]",0
120.03299999999999,1,"[2.558124586030063, 3.88036344722359, 5.963003770624215]",3,"[0, 0, 0, 1]","[1, 0, 0, 0]","[0, 0, 0, 1]",0
142.501,2,"[2.6575080498932984, 7.7757907707444165, 1.6274610406248573]",3,"[0, 0, 1, 0]","[1, 0, 0, 0]","[1, 0, 0, 0]",1
173.184,2,"[2.6575080498932984, 7.7757907707444165, 1.6274610406248573]",3,"[0, 0, 0, 1]","[1, 0, 0, 0]","[0, 0, 0, 1]",0
199.975,2,"[2.6575080498932984, 7.7757907707444165, 1.6274610406248573]",3,"[0, 0, 0, 1]","[0, 0, 1, 0]","[0, 0, 0, 1]",0
222.711,1,"[2.558124586030063, 3.88036344722359, 5.963003770624215]",3,"[0, 0, 0, 1]","[1, 0, 0, 0]","[0, 0, 0, 1]",0
246.04500000000002,3,"[6.382372429097328, 3.920545363782707, 6.140720659289151]",4,"[0, 0, 0, 1]","[1, 0, 0, 0]","[1, 0, 0, 0]",1
268.039,4,"[10.142834054926738, 3.8190204167250847, 6.245995197057862]",3,"[0, 0, 0, 1]","[0, 0, 1, 0]","[0, 0, 0, 1]",0
289.634,5,"[10.014121938962294, 7.700192035374101, 1.5421431221385622]",4,"[0, 0, 0, 1]","[0, 0, 1, 0]","[0, 0, 1, 0]",1
313.377,6,"[14.302219194269027, 7.894519089390117, 6.234330826839959]",4,"[0, 0, 0, 1]","[0, 0, 1, 0]","[0, 0, 0, 1]",0
338.408,7,"[14.100801273598105, 11.423745440077207, 1.7047666395116596]",3,"[0, 0, 0, 1]","[0, 0, 1, 0]","[0, 0, 0, 1]",0
370.21999999999997,7,"[14.100801273598105, 11.423745440077207, 1.7047666395116596]",3,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
391.279,6,"[14.302219194269027, 7.894519089390117, 6.234330826839959]",4,"[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 1, 0]",0
414.676,5,"[10.014121938962294, 7.700192035374101, 1.5421431221385622]",4,"[0, 0, 1, 0]","[1, 0, 0, 0]","[1, 0, 0, 0]",1
447.18,5,"[10.014121938962294, 7.700192035374101, 1.5421431221385622]",4,"[1, 0, 0, 0]","[0, 0, 0, 1]","[1, 0, 0, 0]",0
468.65999999999997,6,"[14.302219194269027, 7.894519089390117, 6.234330826839959]",4,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
498.40399999999994,6,"[14.302219194269027, 7.894519089390117, 6.234330826839959]",4,"[1, 0, 0, 0]","[0, 0, 1, 0]","[1, 0, 0, 0]",0
520.157,7,"[14.100801273598105, 11.423745440077207, 1.7047666395116596]",3,"[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 0, 1]",1
550.373,7,"[14.100801273598105, 11.423745440077207, 1.7047666395116596]",3,"[1, 0, 0, 0]","[0, 0, 1, 0]","[0, 0, 1, 0]",1
572.3330000000001,6,"[14.302219194269027, 7.894519089390117, 6.234330826839959]",4,"[0, 0, 0, 1]","[1, 0, 0, 0]","[1, 0, 0, 0]",1
603.202,6,"[14.302219194269027, 7.894519089390117, 6.234330826839959]",4,"[1, 0, 0, 0]","[0, 0, 1, 0]","[1, 0, 0, 0]",0
625.9780000000001,7,"[14.100801273598105, 11.423745440077207, 1.7047666395116596]",3,"[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 1, 0]",0
651.431,8,"[17.172489102383686, 11.144254130140595, 0.3897485494646579]",3,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
678.2460000000001,8,"[17.172489102383686, 11.144254130140595, 0.3897485494646579]",3,"[0, 0, 0, 1]","[0, 0, 1, 0]","[0, 0, 0, 1]",0
704.133,7,"[14.100801273598105, 11.423745440077207, 1.7047666395116596]",3,"[0, 0, 0, 1]","[1, 0, 0, 0]","[0, 0, 0, 1]",0
727.778,6,"[14.302219194269027, 7.894519089390117, 6.234330826839959]",4,"[0, 0, 0, 1]","[1, 0, 0, 0]","[0, 0, 0, 1]",0
757.748,6,"[14.302219194269027, 7.894519089390117, 6.234330826839959]",4,"[1, 0, 0, 0]","[0, 0, 0, 1]","[1, 0, 0, 0]",0
779.4390000000001,5,"[10.014121938962294, 7.700192035374101, 1.5421431221385622]",4,"[0, 0, 0, 1]","[1, 0, 0, 0]","[1, 0, 0, 0]",1
810.0980000000001,5,"[10.014121938962294, 7.700192035374101, 1.5421431221385622]",4,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
833.7650000000001,4,"[10.142834054926738, 3.8190204167250847, 6.245995197057862]",3,"[1, 0, 0, 0]","[0, 0, 1, 0]","[1, 0, 0, 0]",0
859.956,9,"[10.434515727337027, 0.4262913590268327, 4.674521281247524]",3,"[0, 0, 0, 1]","[0, 0, 1, 0]","[0, 0, 0, 1]",0
896.34,9,"[10.434515727337027, 0.4262913590268327, 4.674521281247524]",3,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
919.5830000000001,4,"[10.142834054926738, 3.8190204167250847, 6.245995197057862]",3,"[0, 0, 0, 1]","[1, 0, 0, 0]","[0, 0, 0, 1]",0
941.4440000000001,3,"[6.382372429097328, 3.920545363782707, 6.140720659289151]",4,"[0, 0, 0, 1]","[0, 0, 1, 0]","[0, 0, 1, 0]",1
