2024-10-31 11:47:08.750 [info] Starting Python Locator /root/.vscode/extensions/ms-python.python-2024.16.1-linux-x64/python-env-tools/bin/pet server
2024-10-31 11:47:09.330 [info] Discovered env: /bin/python
2024-10-31 11:47:09.331 [info] Discovered env: /usr/bin/python
2024-10-31 11:47:09.335 [info] Discovered env: /bin/python3
2024-10-31 11:47:09.337 [info] Discovered env: /usr/bin/python3
2024-10-31 11:47:09.340 [info] Locator Conda took 57.723587ms
2024-10-31 11:47:09.340 [info] Locator Homebrew took 72.149µs
2024-10-31 11:47:09.340 [info] Locator LinuxGlobal took 201.234835ms
2024-10-31 11:47:09.340 [info] Locator PipEnv took 102.584µs
2024-10-31 11:47:09.346 [info] Locator Poetry took 896.222µs
2024-10-31 11:47:09.346 [info] Locator PyEnv took 129.947µs
2024-10-31 11:47:09.347 [info] Locator Venv took 18.252µs
2024-10-31 11:47:09.347 [info] Locator VirtualEnv took 13.935µs
2024-10-31 11:47:09.347 [info] Locator VirtualEnvWrapper took 65.392µs
2024-10-31 11:47:09.347 [info] Locator GlobalVirtualEnvs took 205.776µs
2024-10-31 11:47:09.347 [info] Locator Locators took 203.798658ms
2024-10-31 11:47:09.348 [info] Locator Path took 364.568277ms
2024-10-31 11:47:09.348 [info] Locator Workspaces took 2.27517ms
2024-10-31 11:47:09.348 [info] Refresh completed in 364ms
