2024-10-25 18:33:56.809 [info] Starting Python Locator /root/.vscode/extensions/ms-python.python-2024.16.1-linux-x64/python-env-tools/bin/pet server
2024-10-25 18:33:56.898 [info] Discovered env: /bin/python
2024-10-25 18:33:56.899 [info] Discovered env: /usr/bin/python
2024-10-25 18:33:56.904 [info] Discovered env: /bin/python3
2024-10-25 18:33:56.904 [info] Discovered env: /usr/bin/python3
2024-10-25 18:33:57.592 [info] Locator Conda took 55.475479ms
2024-10-25 18:33:57.593 [info] Locator Homebrew took 39.114µs
2024-10-25 18:33:57.602 [info] Locator LinuxGlobal took 131.995124ms
2024-10-25 18:33:57.603 [info] Locator PipEnv took 95.159µs
2024-10-25 18:33:57.603 [info] Locator Poetry took 250.546µs
2024-10-25 18:33:57.603 [info] Locator PyEnv took 350.257µs
2024-10-25 18:33:57.603 [info] Locator Venv took 95.945µs
2024-10-25 18:33:57.604 [info] Locator VirtualEnv took 21.268µs
2024-10-25 18:33:57.605 [info] Locator VirtualEnvWrapper took 95.635µs
2024-10-25 18:33:57.605 [info] Locator GlobalVirtualEnvs took 336.119µs
2024-10-25 18:33:57.605 [info] Locator Locators took 133.464645ms
2024-10-25 18:33:57.605 [info] Locator Path took 298.434043ms
2024-10-25 18:33:57.608 [info] Locator Workspaces took 1.975132ms
2024-10-25 18:33:57.613 [info] Refresh completed in 298ms
